"""siteid""","""sitename""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
41,臺西,38,相對濕度,RH,%,2023-09-09,92
41,臺西,143,小時風速值,WS_HR,m/sec,2023-09-09,1.6
42,嘉義,1,二氧化硫,SO2,ppb,2023-09-09,1.2
42,嘉義,2,一氧化碳,CO,ppm,2023-09-09,0.17
42,嘉義,3,臭氧,O3,ppb,2023-09-09,22.5
42,嘉義,4,懸浮微粒,PM10,μg/m3,2023-09-09,4
42,嘉義,5,氮氧化物,NOx,ppb,2023-09-09,5.3
42,嘉義,6,一氧化氮,NO,ppb,2023-09-09,1.3
42,嘉義,7,二氧化氮,NO2,ppb,2023-09-09,3.9
42,嘉義,14,溫度,AMB_TEMP,℃,2023-09-09,26.7
42,嘉義,31,甲烷,CH4,ppm,2023-09-09,1.96
42,嘉義,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,3
42,嘉義,38,相對濕度,RH,%,2023-09-09,89
43,新營,1,二氧化硫,SO2,ppb,2023-09-09,0.3
43,新營,2,一氧化碳,CO,ppm,2023-09-09,0.15
43,新營,3,臭氧,O3,ppb,2023-09-09,21.6
43,新營,4,懸浮微粒,PM10,μg/m3,2023-09-09,4
43,新營,5,氮氧化物,NOx,ppb,2023-09-09,5.1
43,新營,6,一氧化氮,NO,ppb,2023-09-09,1.4
43,新營,7,二氧化氮,NO2,ppb,2023-09-09,3.6
43,新營,8,總碳氫化物,THC,ppm,2023-09-09,2.06
43,新營,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-09,0
43,新營,10,風速,WIND_SPEED,m/sec,2023-09-09,1.1
43,新營,14,溫度,AMB_TEMP,℃,2023-09-09,26.3
43,新營,31,甲烷,CH4,ppm,2023-09-09,2.08
43,新營,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,x
43,新營,38,相對濕度,RH,%,2023-09-09,92
43,新營,143,小時風速值,WS_HR,m/sec,2023-09-09,0.7
44,善化,2,一氧化碳,CO,ppm,2023-09-09,0.09
48,橋頭,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,1.9
48,橋頭,38,相對濕度,RH,%,2023-09-09,96
48,橋頭,143,小時風速值,WS_HR,m/sec,2023-09-09,2
49,仁武,1,二氧化硫,SO2,ppb,2023-09-09,0.8
49,仁武,2,一氧化碳,CO,ppm,2023-09-09,0.22
49,仁武,3,臭氧,O3,ppb,2023-09-09,19.1
49,仁武,4,懸浮微粒,PM10,μg/m3,2023-09-09,6
49,仁武,5,氮氧化物,NOx,ppb,2023-09-09,9
49,仁武,6,一氧化氮,NO,ppb,2023-09-09,1.4
49,仁武,7,二氧化氮,NO2,ppb,2023-09-09,7.5
49,仁武,8,總碳氫化物,THC,ppm,2023-09-09,1.96
49,仁武,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-09,0.02
49,仁武,10,風速,WIND_SPEED,m/sec,2023-09-09,1.7
49,仁武,14,溫度,AMB_TEMP,℃,2023-09-09,25.4
49,仁武,31,甲烷,CH4,ppm,2023-09-09,1.93
49,仁武,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,2.1
49,仁武,38,相對濕度,RH,%,2023-09-09,98
49,仁武,143,小時風速值,WS_HR,m/sec,2023-09-09,1.5
50,鳳山,1,二氧化硫,SO2,ppb,2023-09-09,1.4
50,鳳山,2,一氧化碳,CO,ppm,2023-09-09,0.27
53,楠梓,3,臭氧,O3,ppb,2023-09-09,13.3
53,楠梓,4,懸浮微粒,PM10,μg/m3,2023-09-09,6
42,嘉義,8,總碳氫化物,THC,ppm,2023-09-09,1.98
42,嘉義,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-09,0.02
38,崙背,3,臭氧,O3,ppb,2023-09-09,21.4
38,崙背,4,懸浮微粒,PM10,μg/m3,2023-09-09,4
38,崙背,5,氮氧化物,NOx,ppb,2023-09-09,3.3
38,崙背,6,一氧化氮,NO,ppb,2023-09-09,0.9
38,崙背,7,二氧化氮,NO2,ppb,2023-09-09,2.2
38,崙背,8,總碳氫化物,THC,ppm,2023-09-09,2.09
38,崙背,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-09,0.02
38,崙背,10,風速,WIND_SPEED,m/sec,2023-09-09,1.2
38,崙背,14,溫度,AMB_TEMP,℃,2023-09-09,27.5
38,崙背,31,甲烷,CH4,ppm,2023-09-09,2.06
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,2
38,崙背,38,相對濕度,RH,%,2023-09-09,90
38,崙背,143,小時風速值,WS_HR,m/sec,2023-09-09,0.9
39,新港,1,二氧化硫,SO2,ppb,2023-09-09,1.4
39,新港,2,一氧化碳,CO,ppm,2023-09-09,0.16
39,新港,3,臭氧,O3,ppb,2023-09-09,22.9
39,新港,4,懸浮微粒,PM10,μg/m3,2023-09-09,8
39,新港,5,氮氧化物,NOx,ppb,2023-09-09,5.2
39,新港,6,一氧化氮,NO,ppb,2023-09-09,1.2
39,新港,7,二氧化氮,NO2,ppb,2023-09-09,3.9
39,新港,10,風速,WIND_SPEED,m/sec,2023-09-09,1.7
39,新港,14,溫度,AMB_TEMP,℃,2023-09-09,26.8
40,朴子,4,懸浮微粒,PM10,μg/m3,2023-09-09,6
40,朴子,5,氮氧化物,NOx,ppb,2023-09-09,4.2
40,朴子,6,一氧化氮,NO,ppb,2023-09-09,1.5
40,朴子,7,二氧化氮,NO2,ppb,2023-09-09,2.6
40,朴子,10,風速,WIND_SPEED,m/sec,2023-09-09,1.3
40,朴子,14,溫度,AMB_TEMP,℃,2023-09-09,26.6
40,朴子,33,細懸浮微粒,PM2.5,μg/m3,2023-09-09,2.8
40,朴子,38,相對濕度,RH,%,2023-09-09,93
40,朴子,143,小時風速值,WS_HR,m/sec,2023-09-09,1.1
41,臺西,1,二氧化硫,SO2,ppb,2023-09-09,1
41,臺西,2,一氧化碳,CO,ppm,2023-09-09,0.15
41,臺西,3,臭氧,O3,ppb,2023-09-09,22.7
41,臺西,4,懸浮微粒,PM10,μg/m3,2023-09-09,6
41,臺西,5,氮氧化物,NOx,ppb,2023-09-09,3.9
41,臺西,6,一氧化氮,NO,ppb,2023-09-09,0.8
41,臺西,7,二氧化氮,NO2,ppb,2023-09-09,3
41,臺西,8,總碳氫化物,THC,ppm,2023-09-09,2.06
41,臺西,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-09,0.01
41,臺西,10,風速,WIND_SPEED,m/sec,2023-09-09,1.8
41,臺西,14,溫度,AMB_TEMP,℃,2023-09-09,26.7
41,臺西,31,甲烷,CH4,ppm,2023-09-09,2.04
32,西屯,10,風速,WIND_SPEED,m/sec,2023-09-10,1.8
32,西屯,14,溫度,AMB_TEMP,℃,2023-09-10,28.3
32,西屯,31,甲烷,CH4,ppm,2023-09-10,2.11
32,西屯,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,6.7
32,西屯,38,相對濕度,RH,%,2023-09-10,78
32,西屯,143,小時風速值,WS_HR,m/sec,2023-09-10,1.5
33,彰化,1,二氧化硫,SO2,ppb,2023-09-10,1.4
33,彰化,2,一氧化碳,CO,ppm,2023-09-10,0.24
33,彰化,3,臭氧,O3,ppb,2023-09-10,28.5
33,彰化,4,懸浮微粒,PM10,μg/m3,2023-09-10,17
33,彰化,5,氮氧化物,NOx,ppb,2023-09-10,7.6
33,彰化,6,一氧化氮,NO,ppb,2023-09-10,1.3
33,彰化,7,二氧化氮,NO2,ppb,2023-09-10,6.2
33,彰化,8,總碳氫化物,THC,ppm,2023-09-10,2.15
33,彰化,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.04
33,彰化,10,風速,WIND_SPEED,m/sec,2023-09-10,1.2
33,彰化,14,溫度,AMB_TEMP,℃,2023-09-10,27.6
33,彰化,31,甲烷,CH4,ppm,2023-09-10,2.1
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,8.3
33,彰化,38,相對濕度,RH,%,2023-09-10,79
33,彰化,143,小時風速值,WS_HR,m/sec,2023-09-10,0.9
34,線西,1,二氧化硫,SO2,ppb,2023-09-10,1.4
34,線西,2,一氧化碳,CO,ppm,2023-09-10,0.2
34,線西,3,臭氧,O3,ppb,2023-09-10,30.8
34,線西,5,氮氧化物,NOx,ppb,2023-09-10,6.8
34,線西,6,一氧化氮,NO,ppb,2023-09-10,1.2
34,線西,7,二氧化氮,NO2,ppb,2023-09-10,5.5
34,線西,8,總碳氫化物,THC,ppm,2023-09-10,2.08
34,線西,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.03
34,線西,10,風速,WIND_SPEED,m/sec,2023-09-10,2.4
34,線西,14,溫度,AMB_TEMP,℃,2023-09-10,27.5
34,線西,31,甲烷,CH4,ppm,2023-09-10,2.04
34,線西,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,6.6
34,線西,38,相對濕度,RH,%,2023-09-10,84
34,線西,143,小時風速值,WS_HR,m/sec,2023-09-10,2.2
35,二林,1,二氧化硫,SO2,ppb,2023-09-10,0.3
35,二林,2,一氧化碳,CO,ppm,2023-09-10,0.17
35,二林,3,臭氧,O3,ppb,2023-09-10,31.5
35,二林,4,懸浮微粒,PM10,μg/m3,2023-09-10,12
35,二林,5,氮氧化物,NOx,ppb,2023-09-10,3.5
35,二林,6,一氧化氮,NO,ppb,2023-09-10,1
35,二林,7,二氧化氮,NO2,ppb,2023-09-10,2.4
35,二林,8,總碳氫化物,THC,ppm,2023-09-10,2.08
35,二林,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
35,二林,10,風速,WIND_SPEED,m/sec,2023-09-10,1.6
35,二林,14,溫度,AMB_TEMP,℃,2023-09-10,27.2
35,二林,31,甲烷,CH4,ppm,2023-09-10,2.09
35,二林,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.8
35,二林,38,相對濕度,RH,%,2023-09-10,92
35,二林,143,小時風速值,WS_HR,m/sec,2023-09-10,1.3
36,南投,1,二氧化硫,SO2,ppb,2023-09-10,0.9
36,南投,2,一氧化碳,CO,ppm,2023-09-10,0.2
36,南投,3,臭氧,O3,ppb,2023-09-10,25.2
36,南投,4,懸浮微粒,PM10,μg/m3,2023-09-10,15
36,南投,5,氮氧化物,NOx,ppb,2023-09-10,5.4
36,南投,6,一氧化氮,NO,ppb,2023-09-10,0.7
36,南投,7,二氧化氮,NO2,ppb,2023-09-10,4.5
36,南投,8,總碳氫化物,THC,ppm,2023-09-10,2.06
36,南投,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.01
36,南投,10,風速,WIND_SPEED,m/sec,2023-09-10,0.9
36,南投,14,溫度,AMB_TEMP,℃,2023-09-10,26.9
36,南投,31,甲烷,CH4,ppm,2023-09-10,2.06
36,南投,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,5
36,南投,38,相對濕度,RH,%,2023-09-10,87
36,南投,143,小時風速值,WS_HR,m/sec,2023-09-10,0.6
37,斗六,1,二氧化硫,SO2,ppb,2023-09-10,1
37,斗六,2,一氧化碳,CO,ppm,2023-09-10,0.17
37,斗六,3,臭氧,O3,ppb,2023-09-10,26.6
37,斗六,4,懸浮微粒,PM10,μg/m3,2023-09-10,9
37,斗六,5,氮氧化物,NOx,ppb,2023-09-10,4.7
37,斗六,6,一氧化氮,NO,ppb,2023-09-10,1.6
37,斗六,7,二氧化氮,NO2,ppb,2023-09-10,3
37,斗六,8,總碳氫化物,THC,ppm,2023-09-10,2.04
37,斗六,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
37,斗六,10,風速,WIND_SPEED,m/sec,2023-09-10,1
37,斗六,14,溫度,AMB_TEMP,℃,2023-09-10,27
37,斗六,31,甲烷,CH4,ppm,2023-09-10,2.04
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2
37,斗六,38,相對濕度,RH,%,2023-09-10,89
37,斗六,143,小時風速值,WS_HR,m/sec,2023-09-10,0.6
38,崙背,1,二氧化硫,SO2,ppb,2023-09-10,0.6
38,崙背,2,一氧化碳,CO,ppm,2023-09-10,0.14
38,崙背,3,臭氧,O3,ppb,2023-09-10,25.7
38,崙背,4,懸浮微粒,PM10,μg/m3,2023-09-10,5
38,崙背,5,氮氧化物,NOx,ppb,2023-09-10,2.4
38,崙背,6,一氧化氮,NO,ppb,2023-09-10,1.1
38,崙背,7,二氧化氮,NO2,ppb,2023-09-10,1.2
38,崙背,8,總碳氫化物,THC,ppm,2023-09-10,2.06
38,崙背,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
38,崙背,10,風速,WIND_SPEED,m/sec,2023-09-10,0.9
38,崙背,14,溫度,AMB_TEMP,℃,2023-09-10,26.8
38,崙背,31,甲烷,CH4,ppm,2023-09-10,2.06
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.7
38,崙背,38,相對濕度,RH,%,2023-09-10,93
38,崙背,143,小時風速值,WS_HR,m/sec,2023-09-10,0.6
39,新港,1,二氧化硫,SO2,ppb,2023-09-10,1.4
39,新港,2,一氧化碳,CO,ppm,2023-09-10,0.13
39,新港,3,臭氧,O3,ppb,2023-09-10,30.5
39,新港,4,懸浮微粒,PM10,μg/m3,2023-09-10,6
39,新港,5,氮氧化物,NOx,ppb,2023-09-10,4.2
39,新港,6,一氧化氮,NO,ppb,2023-09-10,1.4
39,新港,7,二氧化氮,NO2,ppb,2023-09-10,2.8
39,新港,10,風速,WIND_SPEED,m/sec,2023-09-10,1.6
39,新港,14,溫度,AMB_TEMP,℃,2023-09-10,25.6
39,新港,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,1.2
39,新港,38,相對濕度,RH,%,2023-09-10,95
39,新港,143,小時風速值,WS_HR,m/sec,2023-09-10,1.1
40,朴子,1,二氧化硫,SO2,ppb,2023-09-10,1.2
40,朴子,2,一氧化碳,CO,ppm,2023-09-10,0.15
40,朴子,3,臭氧,O3,ppb,2023-09-10,32
40,朴子,4,懸浮微粒,PM10,μg/m3,2023-09-10,5
40,朴子,5,氮氧化物,NOx,ppb,2023-09-10,3.4
40,朴子,6,一氧化氮,NO,ppb,2023-09-10,0.9
40,朴子,7,二氧化氮,NO2,ppb,2023-09-10,2.4
40,朴子,10,風速,WIND_SPEED,m/sec,2023-09-10,1.3
40,朴子,14,溫度,AMB_TEMP,℃,2023-09-10,25.5
40,朴子,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2
40,朴子,38,相對濕度,RH,%,2023-09-10,94
40,朴子,143,小時風速值,WS_HR,m/sec,2023-09-10,1.1
41,臺西,1,二氧化硫,SO2,ppb,2023-09-10,0.9
41,臺西,2,一氧化碳,CO,ppm,2023-09-10,0.15
41,臺西,3,臭氧,O3,ppb,2023-09-10,28.5
41,臺西,4,懸浮微粒,PM10,μg/m3,2023-09-10,6
41,臺西,5,氮氧化物,NOx,ppb,2023-09-10,2.9
41,臺西,6,一氧化氮,NO,ppb,2023-09-10,1
41,臺西,7,二氧化氮,NO2,ppb,2023-09-10,1.8
41,臺西,8,總碳氫化物,THC,ppm,2023-09-10,2.06
41,臺西,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.01
41,臺西,10,風速,WIND_SPEED,m/sec,2023-09-10,1.6
70,永和,31,甲烷,CH4,ppm,2023-09-10,2.02
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,10.9
70,永和,38,相對濕度,RH,%,2023-09-10,57
70,永和,143,小時風速值,WS_HR,m/sec,2023-09-10,1.3
71,復興,1,二氧化硫,SO2,ppb,2023-09-10,1.9
71,復興,2,一氧化碳,CO,ppm,2023-09-10,0.33
71,復興,3,臭氧,O3,ppb,2023-09-10,24.7
71,復興,4,懸浮微粒,PM10,μg/m3,2023-09-10,12
71,復興,5,氮氧化物,NOx,ppb,2023-09-10,12.9
71,復興,6,一氧化氮,NO,ppb,2023-09-10,2
71,復興,7,二氧化氮,NO2,ppb,2023-09-10,10.8
71,復興,8,總碳氫化物,THC,ppm,2023-09-10,2.08
71,復興,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.07
71,復興,10,風速,WIND_SPEED,m/sec,2023-09-10,0.7
71,復興,14,溫度,AMB_TEMP,℃,2023-09-10,26.7
71,復興,31,甲烷,CH4,ppm,2023-09-10,2
71,復興,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,4.5
71,復興,38,相對濕度,RH,%,2023-09-10,91
71,復興,143,小時風速值,WS_HR,m/sec,2023-09-10,0.4
72,埔里,1,二氧化硫,SO2,ppb,2023-09-10,1
72,埔里,2,一氧化碳,CO,ppm,2023-09-10,0.19
72,埔里,3,臭氧,O3,ppb,2023-09-10,25.5
72,埔里,4,懸浮微粒,PM10,μg/m3,2023-09-10,11
72,埔里,5,氮氧化物,NOx,ppb,2023-09-10,3.3
72,埔里,6,一氧化氮,NO,ppb,2023-09-10,0.7
72,埔里,7,二氧化氮,NO2,ppb,2023-09-10,2.5
72,埔里,8,總碳氫化物,THC,ppm,2023-09-10,2.08
72,埔里,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.02
72,埔里,10,風速,WIND_SPEED,m/sec,2023-09-10,1.7
72,埔里,14,溫度,AMB_TEMP,℃,2023-09-10,25.7
72,埔里,31,甲烷,CH4,ppm,2023-09-10,2.04
72,埔里,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,4.5
72,埔里,38,相對濕度,RH,%,2023-09-10,84
72,埔里,143,小時風速值,WS_HR,m/sec,2023-09-10,1.2
75,馬祖,1,二氧化硫,SO2,ppb,2023-09-10,0.8
75,馬祖,2,一氧化碳,CO,ppm,2023-09-10,0.17
75,馬祖,3,臭氧,O3,ppb,2023-09-10,54.7
75,馬祖,4,懸浮微粒,PM10,μg/m3,2023-09-10,20
75,馬祖,5,氮氧化物,NOx,ppb,2023-09-10,3.4
75,馬祖,6,一氧化氮,NO,ppb,2023-09-10,0.5
75,馬祖,7,二氧化氮,NO2,ppb,2023-09-10,2.9
75,馬祖,8,總碳氫化物,THC,ppm,2023-09-10,2
75,馬祖,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
75,馬祖,10,風速,WIND_SPEED,m/sec,2023-09-10,0.9
75,馬祖,14,溫度,AMB_TEMP,℃,2023-09-10,27.7
75,馬祖,31,甲烷,CH4,ppm,2023-09-10,2.02
75,馬祖,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,7.6
75,馬祖,38,相對濕度,RH,%,2023-09-10,73
75,馬祖,143,小時風速值,WS_HR,m/sec,2023-09-10,0.6
77,金門,1,二氧化硫,SO2,ppb,2023-09-10,1.2
77,金門,2,一氧化碳,CO,ppm,2023-09-10,0.21
77,金門,3,臭氧,O3,ppb,2023-09-10,51.4
77,金門,4,懸浮微粒,PM10,μg/m3,2023-09-10,26
78,馬公,7,二氧化氮,NO2,ppb,2023-09-10,4.2
78,馬公,8,總碳氫化物,THC,ppm,2023-09-10,1.95
80,關山,143,小時風速值,WS_HR,m/sec,2023-09-10,0.6
83,麥寮,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.02
83,麥寮,10,風速,WIND_SPEED,m/sec,2023-09-10,1.9
83,麥寮,14,溫度,AMB_TEMP,℃,2023-09-10,26.5
83,麥寮,31,甲烷,CH4,ppm,2023-09-10,2.08
83,麥寮,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.2
83,麥寮,38,相對濕度,RH,%,2023-09-10,94
83,麥寮,143,小時風速值,WS_HR,m/sec,2023-09-10,1.4
84,富貴角,1,二氧化硫,SO2,ppb,2023-09-10,1.5
84,富貴角,2,一氧化碳,CO,ppm,2023-09-10,0.11
84,富貴角,3,臭氧,O3,ppb,2023-09-10,42.3
84,富貴角,4,懸浮微粒,PM10,μg/m3,2023-09-10,24
84,富貴角,5,氮氧化物,NOx,ppb,2023-09-10,1.9
84,富貴角,6,一氧化氮,NO,ppb,2023-09-10,0
84,富貴角,7,二氧化氮,NO2,ppb,2023-09-10,1.8
84,富貴角,8,總碳氫化物,THC,ppm,2023-09-10,1.95
84,富貴角,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
84,富貴角,10,風速,WIND_SPEED,m/sec,2023-09-10,3.3
84,富貴角,14,溫度,AMB_TEMP,℃,2023-09-10,26.9
84,富貴角,31,甲烷,CH4,ppm,2023-09-10,1.95
84,富貴角,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,6
84,富貴角,38,相對濕度,RH,%,2023-09-10,86
84,富貴角,143,小時風速值,WS_HR,m/sec,2023-09-10,3.2
85,大城,1,二氧化硫,SO2,ppb,2023-09-10,0.9
85,大城,2,一氧化碳,CO,ppm,2023-09-10,0.12
85,大城,3,臭氧,O3,ppb,2023-09-10,30.7
58,小港,38,相對濕度,RH,%,2023-09-10,85
58,小港,143,小時風速值,WS_HR,m/sec,2023-09-10,1.2
59,屏東,1,二氧化硫,SO2,ppb,2023-09-10,0.5
59,屏東,2,一氧化碳,CO,ppm,2023-09-10,0.27
59,屏東,3,臭氧,O3,ppb,2023-09-10,22.7
59,屏東,4,懸浮微粒,PM10,μg/m3,2023-09-10,9
59,屏東,5,氮氧化物,NOx,ppb,2023-09-10,8.7
59,屏東,6,一氧化氮,NO,ppb,2023-09-10,1.2
59,屏東,7,二氧化氮,NO2,ppb,2023-09-10,7.4
59,屏東,8,總碳氫化物,THC,ppm,2023-09-10,2.18
59,屏東,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.04
59,屏東,10,風速,WIND_SPEED,m/sec,2023-09-10,1.7
59,屏東,14,溫度,AMB_TEMP,℃,2023-09-10,27.4
85,大城,4,懸浮微粒,PM10,μg/m3,2023-09-10,10
85,大城,5,氮氧化物,NOx,ppb,2023-09-10,3.2
85,大城,6,一氧化氮,NO,ppb,2023-09-10,0.6
85,大城,7,二氧化氮,NO2,ppb,2023-09-10,2.6
85,大城,8,總碳氫化物,THC,ppm,2023-09-10,2.08
85,大城,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
85,大城,10,風速,WIND_SPEED,m/sec,2023-09-10,1.5
85,大城,14,溫度,AMB_TEMP,℃,2023-09-10,26.9
85,大城,31,甲烷,CH4,ppm,2023-09-10,2.09
85,大城,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.6
85,大城,38,相對濕度,RH,%,2023-09-10,87
85,大城,143,小時風速值,WS_HR,m/sec,2023-09-10,1
62,臺東,3,臭氧,O3,ppb,2023-09-10,26.6
62,臺東,2,一氧化碳,CO,ppm,2023-09-10,0.17
62,臺東,1,二氧化硫,SO2,ppb,2023-09-10,0.9
61,恆春,143,小時風速值,WS_HR,m/sec,2023-09-10,2.2
65,宜蘭,38,相對濕度,RH,%,2023-09-10,65
61,恆春,38,相對濕度,RH,%,2023-09-10,92
61,恆春,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.2
61,恆春,32,降雨強度,RAIN_INT,㎜,2023-09-10,0
61,恆春,14,溫度,AMB_TEMP,℃,2023-09-10,26.7
61,恆春,10,風速,WIND_SPEED,m/sec,2023-09-10,2.4
61,恆春,7,二氧化氮,NO2,ppb,2023-09-10,0.2
61,恆春,6,一氧化氮,NO,ppb,2023-09-10,0.6
61,恆春,5,氮氧化物,NOx,ppb,2023-09-10,0.9
61,恆春,4,懸浮微粒,PM10,μg/m3,2023-09-10,8
61,恆春,3,臭氧,O3,ppb,2023-09-10,29.8
61,恆春,2,一氧化碳,CO,ppm,2023-09-10,0.11
61,恆春,1,二氧化硫,SO2,ppb,2023-09-10,0.4
60,潮州,143,小時風速值,WS_HR,m/sec,2023-09-10,1.4
60,潮州,38,相對濕度,RH,%,2023-09-10,90
60,潮州,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,2.6
60,潮州,31,甲烷,CH4,ppm,2023-09-10,2.11
60,潮州,14,溫度,AMB_TEMP,℃,2023-09-10,26.7
60,潮州,10,風速,WIND_SPEED,m/sec,2023-09-10,1.5
60,潮州,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0
60,潮州,8,總碳氫化物,THC,ppm,2023-09-10,2.08
60,潮州,7,二氧化氮,NO2,ppb,2023-09-10,2.1
60,潮州,6,一氧化氮,NO,ppb,2023-09-10,0.1
60,潮州,5,氮氧化物,NOx,ppb,2023-09-10,2.2
60,潮州,4,懸浮微粒,PM10,μg/m3,2023-09-10,8
60,潮州,3,臭氧,O3,ppb,2023-09-10,23.8
60,潮州,2,一氧化碳,CO,ppm,2023-09-10,0.11
60,潮州,1,二氧化硫,SO2,ppb,2023-09-10,0.5
59,屏東,143,小時風速值,WS_HR,m/sec,2023-09-10,1.3
59,屏東,38,相對濕度,RH,%,2023-09-10,96
59,屏東,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,4.9
59,屏東,31,甲烷,CH4,ppm,2023-09-10,2.14
17,桃園,143,小時風速值,WS_HR,m/sec,2023-09-10,1.3
17,桃園,38,相對濕度,RH,%,2023-09-10,62
17,桃園,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,7
17,桃園,31,甲烷,CH4,ppm,2023-09-10,2.04
17,桃園,14,溫度,AMB_TEMP,℃,2023-09-10,27.9
17,桃園,10,風速,WIND_SPEED,m/sec,2023-09-10,1.7
17,桃園,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.07
17,桃園,8,總碳氫化物,THC,ppm,2023-09-10,2.13
17,桃園,7,二氧化氮,NO2,ppb,2023-09-10,8.7
17,桃園,6,一氧化氮,NO,ppb,2023-09-10,1.4
17,桃園,5,氮氧化物,NOx,ppb,2023-09-10,10.3
17,桃園,4,懸浮微粒,PM10,μg/m3,2023-09-10,18
17,桃園,3,臭氧,O3,ppb,2023-09-10,32.8
17,桃園,2,一氧化碳,CO,ppm,2023-09-10,0.26
17,桃園,1,二氧化硫,SO2,ppb,2023-09-10,1.6
16,大同,143,小時風速值,WS_HR,m/sec,2023-09-10,
16,大同,38,相對濕度,RH,%,2023-09-10,65
16,大同,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,11.7
16,大同,31,甲烷,CH4,ppm,2023-09-10,1.97
16,大同,14,溫度,AMB_TEMP,℃,2023-09-10,
16,大同,10,風速,WIND_SPEED,m/sec,2023-09-10,
16,大同,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.16
16,大同,8,總碳氫化物,THC,ppm,2023-09-10,2.13
16,大同,7,二氧化氮,NO2,ppb,2023-09-10,18.6
16,大同,6,一氧化氮,NO,ppb,2023-09-10,13.5
16,大同,5,氮氧化物,NOx,ppb,2023-09-10,32.1
16,大同,4,懸浮微粒,PM10,μg/m3,2023-09-10,24
16,大同,3,臭氧,O3,ppb,2023-09-10,20.5
16,大同,2,一氧化碳,CO,ppm,2023-09-10,0.57
16,大同,1,二氧化硫,SO2,ppb,2023-09-10,1
15,松山,143,小時風速值,WS_HR,m/sec,2023-09-10,1.1
15,松山,38,相對濕度,RH,%,2023-09-10,71
15,松山,33,細懸浮微粒,PM2.5,μg/m3,2023-09-10,4.1
15,松山,31,甲烷,CH4,ppm,2023-09-10,2.04
15,松山,14,溫度,AMB_TEMP,℃,2023-09-10,27.8
15,松山,10,風速,WIND_SPEED,m/sec,2023-09-10,1.4
15,松山,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-10,0.02
15,松山,8,總碳氫化物,THC,ppm,2023-09-10,2.06
15,松山,7,二氧化氮,NO2,ppb,2023-09-10,8.5
15,松山,6,一氧化氮,NO,ppb,2023-09-10,1.8
15,松山,5,氮氧化物,NOx,ppb,2023-09-10,10.4
15,松山,4,懸浮微粒,PM10,μg/m3,2023-09-10,17
15,松山,2,一氧化碳,CO,ppm,2023-09-10,0.2
15,松山,1,二氧化硫,SO2,ppb,2023-09-10,0.7
